den.;jmeno
8.9.;Mariana
9.9.;Daniela
10.9.;Irma
11.9.;Denisa
12.9.;Marie
13.9.;Lubor
14.9.;Radka
15.9.;Jolana
16.9.;Ludmila
17.9.;Nadìda
18.9.;Kryštof
19.9.;Zita
20.9.;Oleg
21.9.;Matouš
22.9.;Darina
23.9.;Berta
24.9.;Jaromír
25.9.;Zlata
26.9.;Andrea
27.9.;Jonáš
28.9.;Václav
29.9.;Michal
30.9.;Jeronım
1.10.;Igor
2.10.;Oliver
2.10.;Olivie
3.10.;Bohumil
4.10.;František
5.10.;Eliška
6.10.;Hanuš
7.10.;Justına
8.10.;Vìra
9.10.;Sára
9.10.;Štefan
10.10.;Marina
11.10.;Andrej
12.10.;Marcel
13.10.;Renáta
14.10.;Agáta
15.10.;Tereza
16.10.;Havel
17.10.;Hedvika
18.10.;Lukáš
19.10.;Michaela
20.10.;Vendelín
21.10.;Brigita
22.10.;Sabina
23.10.;Teodor
24.10.;Nina
25.10.;Beáta
26.10.;Erik
27.10.;Šarlota
27.10.;Zoe
28.10.;Zaloení ÈSR
29.10.;Silvie
30.10.;Tadeáš
31.10.;Štìpánka
1.11.;Felix
2.11.;Památka zesnulıch
3.11.;Hubert
4.11.;Karel
5.11.;Miriam
6.11.;Libìna
7.11.;Saskie
8.11.;Bohumír
9.11.;Bohdan
10.11.;Even
11.11.;Martin
12.11.;Benedikt
13.11.;Tibor
14.11.;Sáva
15.11.;Leopold
16.11.;Otmar
17.11.;Mahulena
18.11.;Romana
19.11.;Albìta
20.11.;Nikola
21.11.;Albert
22.11.;Cecílie
23.11.;Klement
24.11.;Emílie
25.11.;Kateøina
26.11.;Artur
27.11.;Xenie
28.11.;René
29.11.;Zina
30.11.;Ondøej
1.12.;Iva
2.12.;Blanka
3.12.;Svatoslav
4.12.;Barbora
5.12.;Jitka
6.12.;Mikuláš
7.12.;Ambro
7.12.;Benjamín
8.12.;Kvìtoslava
9.12.;Vratislav
10.12.;Julie
11.12.;Dana
12.12.;Simona
13.12.;Lucie
14.12.;Lıdie
15.12.;Radan
15.12.;Radana
16.12.;Albína
17.12.;Daniel
18.12.;Miloslav
19.12.;Ester
20.12.;Dagmar
21.12.;Natálie
22.12.;Šimon
23.12.;Vlasta
24.12.;Adam
24.12.;Eva
25.12.;Boí hod vánoèní
26.12.;Štìpán
27.12.;aneta
28.12.;Bohumila
29.12.;Judita
30.12.;David
31.12.;Silvestr
